Age,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
65,3,4,0,3,1,1,4,4,144284,1
67,3,4,1,3,1,4,3,3,168190,1
44,2,3,1,3,0,0,0,0,44900,0
60,2,3,0,3,1,0,0,1,44088,0
60,2,1,0,3,1,0,0,1,43178,0
60,2,1,1,3,1,0,0,1,32152,1
61,2,1,0,3,1,0,0,1,36417,0
87,2,1,1,3,1,0,0,1,34702,0
65,4,3,0,3,1,0,0,1,13619,0
67,4,3,1,3,1,1,0,2,11513,0
84,2,1,0,3,1,0,0,1,50225,0
80,1,1,1,3,1,0,0,1,52397,0
61,2,1,0,3,1,0,0,4,63149,0
61,2,1,0,3,1,0,0,4,67954,0
62,4,3,0,3,1,0,1,1,12297,0
62,4,3,1,2,0,0,1,1,15989,0
62,4,3,1,2,0,0,1,1,22120,1
63,1,1,1,3,1,0,0,0,41979,1
63,2,1,1,3,1,0,0,3,79417,1
53,3,3,0,2,1,0,2,2,20533,1
52,2,1,0,3,1,0,0,0,58496,0
53,4,3,1,2,1,1,0,0,41759,0
53,1,1,0,3,0,0,0,0,47996,0
53,2,5,1,2,1,0,0,0,62160,0
70,4,3,1,2,0,2,0,3,31845,0
54,3,3,0,3,0,1,2,2,11371,0
54,3,3,1,2,1,1,2,2,16814,1
78,1,2,1,3,1,3,4,4,165437,1
78,1,2,0,3,1,3,4,4,129525,1
78,1,2,1,3,1,4,4,4,165819,1
76,4,4,0,3,1,4,4,4,147344,1
76,4,4,1,2,0,4,4,4,164728,1
68,4,4,1,3,0,1,2,4,120569,1
68,4,4,1,2,0,4,4,4,158166,1
68,3,4,0,2,0,4,4,4,139396,1
68,3,4,1,2,0,1,5,5,161432,1
69,4,4,0,3,1,2,5,5,145398,1
69,4,4,1,3,0,2,5,5,152144,0
69,1,2,0,3,0,3,5,5,136800,1
70,4,4,0,2,1,3,5,5,135217,1
71,3,4,0,3,1,3,5,5,140253,0
71,4,2,1,2,0,4,5,5,167734,1
72,4,2,0,2,0,4,5,5,139924,1
74,3,2,1,3,1,4,5,5,159678,1
74,3,2,1,2,0,4,5,5,152541,1
75,2,4,1,2,0,4,5,5,173625,1
49,5,3,0,2,0,2,0,0,21915,0
42,5,3,0,2,0,2,0,0,15247,0
48,3,3,1,2,0,1,0,0,38427,1
48,1,5,1,3,1,0,1,1,64202,0
50,5,3,0,2,0,2,0,0,20106,0
49,1,5,0,3,1,1,1,1,47575,0
51,5,3,0,2,0,2,0,0,10547,1
51,5,3,0,2,0,2,0,0,16426,0
51,4,1,1,2,1,2,2,2,65972,1
51,4,1,1,2,1,2,2,2,61027,1
52,4,1,1,2,1,2,2,2,57704,1
54,1,1,0,2,0,0,1,1,49997,1
54,2,1,1,3,1,0,0,0,67903,0
55,4,3,0,3,1,1,1,1,31899,0
56,1,5,1,3,1,1,1,1,57861,0
57,3,3,1,2,1,0,2,2,21829,1
58,3,3,0,2,1,0,3,3,12531,0
56,1,4,1,3,1,0,0,0,78670,0
56,2,5,0,2,0,0,0,0,90179,1
58,1,5,0,3,1,0,0,1,51485,0
43,4,1,1,2,1,2,3,3,67750,1
43,4,1,0,2,1,2,3,3,52420,1
59,1,5,1,3,1,0,0,1,50813,0
59,1,5,1,3,1,0,0,1,49960,1
59,1,5,1,3,1,0,0,1,70108,0
60,1,5,0,3,1,0,0,1,53358,0
44,4,1,1,2,1,3,4,4,61694,1
47,1,5,0,3,1,0,1,1,52267,0
47,1,5,0,3,1,0,1,1,45579,0
86,2,1,1,3,1,0,0,1,64331,0
65,4,3,1,3,1,0,0,1,23828,0
85,1,1,1,3,1,0,0,1,46162,0
84,2,1,1,3,1,0,0,1,73381,0
82,1,1,1,3,1,0,0,1,38072,0
82,1,1,0,3,1,0,0,1,22362,0
81,1,1,1,3,1,0,0,1,65193,0
81,1,1,1,3,1,0,0,1,57280,0
80,1,1,1,3,1,0,0,1,68214,0
80,1,1,0,3,1,0,0,1,48168,0
80,1,1,0,3,1,0,0,1,51759,0
80,2,1,0,3,1,0,0,1,66025,0
61,2,1,0,3,1,0,0,4,67041,1
61,2,1,1,2,1,0,0,4,92189,1
61,2,1,0,3,1,0,0,4,66248,0
61,2,1,1,2,1,0,0,3,65040,0
61,2,1,1,3,1,0,0,3,74338,1
62,2,1,0,3,1,0,0,3,58156,0
63,4,3,0,3,1,1,0,2,16125,0
62,2,1,1,3,1,0,0,3,71155,1
62,2,1,1,3,1,0,0,3,70368,0
62,1,1,1,2,1,0,0,3,52830,0
63,1,1,1,3,1,0,0,0,64201,0
63,1,1,0,3,1,0,0,0,56395,0
64,1,1,0,3,1,0,0,1,53320,0
52,4,3,1,2,1,1,0,0,26109,1
53,3,3,1,2,1,0,2,2,30369,0
53,3,3,1,2,1,1,2,2,37388,0
53,2,1,0,3,1,0,0,0,70192,0
53,2,5,1,3,1,0,0,0,74192,0
70,4,3,1,3,0,2,0,3,22596,0
71,4,3,0,3,1,1,0,2,10980,0
54,4,3,0,2,0,0,1,1,17881,1
68,4,4,1,3,1,1,2,4,126742,0
77,1,2,1,3,1,4,4,4,173730,1
77,1,2,1,3,1,4,4,4,180870,0
76,4,4,1,3,1,4,4,4,156024,0
69,4,4,1,3,1,1,2,3,130010,0
69,4,4,0,3,1,2,5,5,130160,0
69,1,2,0,3,1,3,5,5,131889,1
70,4,4,0,3,1,4,5,5,139355,0
72,3,2,0,3,1,4,5,5,140796,1
72,1,2,0,3,1,3,5,5,128031,1
72,4,2,0,3,0,3,5,5,133046,1
73,3,2,0,3,1,4,5,5,143898,0
75,4,4,0,3,1,4,5,5,136327,1
43,4,1,1,2,0,1,0,0,54258,1
44,3,3,0,2,1,1,0,0,45885,0
50,5,3,0,2,0,2,0,0,19412,0
49,1,5,1,3,1,1,1,1,52858,0
50,3,3,0,2,1,1,0,0,51853,0
50,4,1,1,2,1,0,2,2,55651,1
51,5,3,1,2,0,2,0,0,23268,0
54,1,1,0,3,1,0,0,1,39795,0
54,1,1,1,3,1,0,0,0,49859,0
59,3,3,1,2,1,2,3,3,26906,1
56,2,5,0,2,0,0,0,0,81218,1
88,2,5,0,3,1,0,0,1,54802,0
58,1,5,0,3,1,0,0,1,58274,0
59,1,5,0,3,1,0,0,1,66108,0
59,1,5,1,3,1,0,0,1,45136,0
59,1,5,1,3,1,0,0,1,57980,1
59,1,5,0,3,1,0,0,1,56316,0
59,1,5,1,3,1,0,0,1,67285,0
60,4,1,0,2,1,1,0,1,42052,0
60,1,5,0,3,1,1,0,1,42345,0
60,1,5,0,3,1,1,0,1,40761,0
44,4,1,0,2,1,2,4,4,52264,1
46,3,3,0,3,0,1,0,0,21909,0
46,4,1,0,2,0,1,0,0,46447,1
48,5,3,0,2,0,2,0,0,16155,0
48,5,3,0,2,0,2,0,0,21409,0
64,4,4,1,3,1,4,3,3,153169,1
64,4,4,0,3,1,2,4,4,124352,0
64,4,4,0,3,1,2,4,4,131347,1
64,4,4,0,3,1,3,3,3,130218,1
65,3,4,1,3,1,4,3,3,164354,1
64,4,4,1,3,1,2,4,4,153205,0
65,3,4,0,2,0,2,4,4,133005,1
65,1,2,0,3,1,3,3,3,135839,0
67,4,4,0,3,0,3,4,4,132923,1
67,4,4,1,3,1,3,4,4,168936,1
58,2,3,0,3,1,0,0,1,23894,0
60,2,1,1,3,1,0,0,1,44897,1
65,4,3,1,3,1,0,0,1,12306,0
66,4,3,0,3,1,0,0,2,9482,0
67,4,3,0,3,1,0,0,2,16988,0
85,2,1,1,3,1,0,0,1,76220,0
80,1,1,1,3,1,0,0,1,66636,0
80,1,1,1,2,1,0,0,1,73533,1
79,2,1,0,3,1,0,0,1,67853,0
61,2,1,1,2,1,0,0,4,68704,1
61,2,1,0,3,1,0,0,3,72863,0
62,4,3,1,2,0,0,1,1,17645,1
63,2,1,1,2,1,0,0,3,76883,1
52,4,3,0,2,1,1,0,0,21507,0
53,3,3,0,2,1,0,2,2,19027,1
53,1,1,1,3,1,0,0,0,60210,0
53,1,1,0,3,1,0,0,1,55776,0
53,1,1,0,3,1,0,0,1,41813,0
53,2,1,0,3,1,0,0,0,51676,0
53,2,5,1,3,1,0,0,0,80377,0
53,2,5,1,2,1,0,0,0,64745,0
53,2,5,1,3,0,0,0,0,73402,0
76,4,4,1,3,1,4,4,4,153356,0
76,4,4,0,3,1,4,4,4,132424,0
69,3,4,1,2,1,1,3,4,89067,1
69,4,4,0,3,0,1,2,4,106884,1
69,1,2,1,3,0,3,5,5,169021,1
69,1,2,0,3,1,3,5,5,137761,1
71,4,4,0,3,1,3,5,5,123769,0
71,4,4,0,3,0,4,5,5,138630,0
72,4,2,0,3,1,3,5,5,118105,1
72,3,2,1,3,0,3,5,5,169174,1
73,3,2,1,3,1,4,5,5,157436,0
75,5,4,0,3,0,4,5,5,132485,1
47,1,5,1,3,1,0,1,1,66429,0
49,5,3,1,2,0,2,0,0,11799,0
42,5,3,1,3,0,2,0,0,22910,0
48,1,5,1,3,1,0,1,1,63671,0
48,1,5,0,3,1,0,1,1,56403,0
48,1,5,0,3,1,0,1,1,45949,1
49,2,5,1,2,0,0,0,0,88313,0
49,2,5,0,2,0,0,0,0,65193,0
50,5,3,0,2,0,2,0,0,10506,0
50,4,1,0,2,1,0,2,2,40193,0
50,4,1,1,3,0,0,2,2,50351,0
51,3,3,0,2,1,1,0,0,23399,1
54,1,1,1,3,1,0,0,1,64698,0
54,1,1,0,3,1,0,0,0,53567,1
96,1,1,1,3,1,1,0,1,72297,0
55,1,1,1,3,1,0,1,1,54403,0
56,3,3,1,2,1,0,2,2,14724,0
56,1,1,0,3,1,1,1,1,65159,0
57,3,3,0,2,1,1,2,2,22399,0
57,3,3,1,2,1,2,2,2,25331,1
58,3,3,0,2,1,2,2,2,17476,1
59,3,3,0,2,1,2,3,3,15413,1
57,1,5,0,3,1,0,0,1,43612,0
57,1,5,1,3,1,0,0,1,42364,0
58,1,5,0,3,1,0,0,1,47733,0
58,1,5,0,3,1,0,0,1,39325,0
43,4,1,0,2,1,2,3,3,46651,1
43,4,1,0,2,1,2,3,3,50367,1
43,4,1,0,2,1,2,3,3,49844,1
59,1,5,1,3,1,0,0,1,58983,1
59,1,5,1,3,1,0,0,1,67438,1
46,4,1,0,2,0,1,0,0,50324,0
48,5,3,1,2,0,2,0,0,17348,0
47,1,5,1,3,1,0,1,1,72078,0
47,1,5,1,3,1,0,1,1,62981,0
62,4,3,0,2,0,0,1,1,17228,1
63,4,3,0,3,1,1,0,2,31560,0
63,1,1,1,3,1,0,0,3,56531,0
52,2,1,0,3,1,0,0,0,51897,0
53,4,3,1,2,0,1,0,0,29270,0
53,1,1,1,2,1,0,0,0,75595,0
53,2,1,1,2,1,0,0,0,87827,0
53,2,1,1,2,1,0,0,0,85901,0
53,2,5,0,2,1,0,0,0,55296,1
78,1,2,0,2,0,4,4,4,127435,1
77,1,2,0,3,1,4,4,4,122709,1
69,1,2,1,3,1,2,5,5,164758,1
71,4,4,1,3,0,2,5,5,158269,1
72,4,2,0,3,0,3,5,5,125535,1
72,3,2,1,2,0,3,5,5,153788,1
72,4,2,0,3,0,3,5,5,125745,1
73,3,2,1,3,1,4,5,5,168584,0
75,3,2,1,2,1,4,5,5,168423,1
64,1,2,0,3,1,4,3,3,146797,1
66,4,4,1,3,1,3,4,4,158471,1
67,4,4,0,2,0,3,4,4,132778,1
45,2,3,0,3,1,0,0,0,41051,0
60,2,1,0,2,1,0,0,1,46729,1
60,2,1,0,3,1,0,0,1,42644,0
61,1,3,1,2,1,0,0,1,23191,0
61,2,1,1,2,1,0,0,1,54146,1
64,1,3,1,3,1,0,0,1,35455,1
65,1,1,1,3,1,0,0,1,28439,0
66,4,3,0,3,1,0,0,2,17800,0
66,4,3,0,3,1,0,0,2,24516,0
67,4,3,1,3,1,0,0,2,33090,0
82,1,1,0,3,1,0,0,1,33782,0
82,1,1,1,3,1,0,0,1,47145,0
44,4,1,0,2,0,1,0,0,51738,0
49,3,3,0,2,1,1,0,0,46501,0
49,1,5,1,3,1,1,1,1,61991,0
50,3,3,1,3,0,1,0,0,46053,0
50,4,1,0,2,1,0,2,2,51567,1
50,4,1,0,2,1,0,2,2,50053,0
51,3,3,1,2,0,1,0,0,49108,1
52,4,1,0,2,1,0,3,3,47727,1
54,1,1,1,3,1,0,0,1,66024,0
54,1,1,0,3,1,0,0,1,52613,0
54,1,1,0,3,1,0,0,0,55572,0
55,5,3,0,2,1,1,3,3,13164,1
55,4,3,0,2,0,1,1,1,19230,1
55,1,1,1,2,0,0,1,1,64018,1
56,3,3,0,2,0,1,1,1,25976,0
55,1,1,1,3,1,0,0,0,74913,0
55,1,1,1,3,1,0,0,0,85067,0
57,3,3,0,2,1,0,2,2,29303,0
59,5,3,0,2,1,2,2,3,19183,1
59,5,3,1,2,1,2,2,3,18104,1
59,5,3,0,2,1,2,2,4,10414,0
59,3,3,1,2,1,2,3,3,19360,1
56,1,4,1,3,1,0,0,0,66629,0
59,4,1,0,2,1,0,2,2,48900,1
57,1,5,0,3,1,0,0,1,46508,0
57,1,5,0,3,1,0,0,1,47773,0
58,1,5,1,3,1,0,0,1,49759,1
58,1,5,1,3,1,0,0,1,40311,1
59,1,5,1,3,1,0,0,1,51615,1
59,1,5,1,3,1,0,0,1,60768,1
44,4,1,1,3,0,2,4,4,60663,0
45,4,1,0,2,0,1,0,0,49017,0
45,4,1,0,2,0,1,0,0,48455,0
47,3,3,1,2,0,1,0,0,31204,0
48,5,3,0,2,1,2,0,0,17442,1
48,5,3,0,2,0,2,0,0,23388,0
51,4,1,0,2,1,1,2,2,58183,1
51,4,1,1,2,1,2,2,2,57460,0
51,4,1,0,2,1,2,2,2,27347,1
51,4,1,0,2,1,2,2,2,60941,1
52,4,1,1,2,1,2,2,2,44981,0
54,1,1,1,3,1,0,0,1,62820,1
54,1,1,1,3,1,0,1,1,65092,0
55,1,1,1,2,0,0,1,1,61615,1
56,5,3,1,2,1,1,4,4,17784,1
56,3,3,0,2,0,1,1,1,25480,0
56,3,3,0,2,1,0,2,2,19545,0
57,3,3,1,2,1,1,2,2,22500,1
58,5,3,0,2,1,2,2,3,14479,0
59,5,3,0,2,1,2,2,3,23421,1
59,3,3,1,3,0,1,3,3,21199,1
56,1,4,1,3,1,0,0,0,72135,0
57,1,5,0,3,1,0,0,1,41760,0
57,1,5,1,3,1,0,0,1,59430,0
58,1,5,1,3,1,0,0,1,45400,1
45,3,3,1,3,0,1,0,0,13194,0
43,4,1,1,2,1,2,3,3,49096,1
59,1,5,1,3,1,0,0,1,56355,1
44,4,1,0,2,1,3,4,4,53103,1
44,4,1,0,3,0,3,4,4,41532,1
44,4,1,1,2,1,3,4,4,48491,1
44,4,1,0,2,1,1,5,5,40426,1
46,3,3,1,3,0,1,0,0,31478,0
47,5,3,0,3,1,2,0,0,16528,0
46,4,1,1,2,0,1,0,0,59119,1
110,5,3,1,3,1,1,0,2,20882,0
47,5,3,1,2,1,1,0,0,12154,0
49,5,3,0,2,1,2,0,0,15542,0
79,2,1,0,3,1,0,0,1,69753,0
61,2,1,0,3,1,0,0,3,68693,0
61,2,1,0,3,1,0,0,3,54209,0
62,4,3,1,2,0,0,1,1,31292,1
62,4,3,0,3,1,0,1,1,23997,0
63,4,3,0,3,1,1,0,2,20426,0
63,4,3,0,2,1,1,0,2,26823,0
63,2,1,1,3,1,0,0,3,78720,0
63,2,1,0,3,1,0,0,3,59367,0
62,2,1,0,2,1,0,0,3,68026,0
102,1,1,0,3,0,2,0,3,23727,0
53,1,1,0,3,1,0,0,0,45956,0
53,1,1,1,2,0,0,0,0,68091,1
53,2,1,0,3,1,0,0,0,63873,0
53,2,1,0,3,1,0,0,0,60334,0
53,2,5,0,2,0,0,0,0,63505,0
53,2,5,0,2,1,0,0,0,56632,1
53,2,5,1,3,1,0,0,0,64957,0
77,1,2,0,3,1,4,4,4,133704,1
76,4,4,1,3,1,4,4,4,156937,0
69,4,4,1,3,1,2,2,4,127875,0
68,3,4,1,3,1,4,4,4,165877,1
69,4,4,0,3,1,2,5,5,139297,0
73,3,2,1,3,1,4,5,5,161369,0
75,5,4,1,3,1,4,5,5,155066,1
64,4,4,0,2,0,4,3,3,123234,1
65,1,2,1,3,1,3,3,3,163802,0
48,2,3,1,3,1,0,0,0,46339,0
60,2,1,1,3,1,0,0,1,42588,0
61,2,1,1,3,1,0,0,1,46517,0
87,2,1,1,3,1,0,0,1,81269,0
64,1,3,0,3,1,0,0,1,16123,0
80,1,1,1,3,1,0,0,1,60669,0
42,4,1,0,2,0,1,0,0,50476,0
44,3,3,1,2,0,1,0,0,63128,1
48,1,5,0,3,1,0,1,1,58205,0
49,3,3,0,2,0,1,0,0,39049,1
49,1,5,1,3,1,1,1,1,60980,0
49,2,5,0,2,0,0,0,0,52653,1
51,5,3,1,2,1,2,0,0,21791,1
51,5,3,0,3,0,2,0,0,13431,0
51,3,3,1,2,0,1,0,0,43412,0
51,3,3,0,2,0,1,0,0,44298,0
81,1,1,0,3,1,0,0,1,59625,0
61,2,1,0,3,1,0,0,4,65619,0
61,2,1,1,2,1,0,0,3,84234,1
62,2,1,1,3,1,0,0,3,70790,0
63,4,3,0,3,1,1,0,2,22942,0
63,2,1,1,3,1,0,0,3,72887,0
62,1,1,0,3,1,0,0,3,39040,0
52,2,1,1,3,0,0,0,0,76166,0
52,2,1,0,3,1,0,0,0,64278,0
53,4,3,1,2,0,1,0,0,33940,0
68,4,4,0,3,1,1,2,4,109206,1
78,1,2,1,3,1,4,4,4,176255,0
68,3,4,1,3,1,2,1,3,128112,1
68,3,4,1,3,1,2,1,3,113036,0
68,5,4,1,3,1,2,5,5,151048,0
69,1,2,1,3,1,3,5,5,167176,0
70,4,4,0,3,0,3,5,5,150413,1
70,3,4,0,3,1,3,5,5,131259,1
74,3,2,0,3,1,4,5,5,150192,1
74,5,4,0,3,1,4,5,5,119701,1
64,4,4,0,3,1,1,4,4,148612,0
65,3,4,1,3,1,4,3,3,154595,0
66,3,4,0,3,1,3,4,4,134119,1
67,3,4,1,2,0,3,4,4,155021,1
51,2,3,0,3,1,0,0,0,23903,0
60,2,3,1,3,1,0,0,1,34239,1
61,1,3,1,3,1,0,0,1,46605,0
64,1,3,1,2,1,0,0,1,24526,1
64,2,1,0,3,1,0,0,1,41087,0
64,2,1,0,2,1,0,0,1,28880,0
65,4,3,1,3,1,0,0,1,14919,0
66,1,1,1,3,1,0,0,1,43684,0
66,1,1,1,2,1,0,0,1,29351,0
68,4,3,0,3,1,1,0,2,14278,0
42,5,3,1,2,0,2,0,0,17717,1
42,5,3,0,2,0,2,0,0,15871,0
43,4,1,0,3,0,1,0,0,36492,0
43,4,1,1,2,0,1,0,0,54583,1
44,3,3,0,2,1,1,0,0,15909,0
44,3,3,0,2,0,1,0,0,36825,0
44,3,3,1,2,0,1,0,0,43667,0
50,3,3,1,2,1,1,0,0,51526,0
51,5,3,0,2,0,2,0,0,20441,0
51,5,3,1,2,1,2,0,0,22171,0
54,2,1,1,2,1,0,0,0,77198,0
55,3,3,0,2,1,0,3,3,28951,1
55,4,3,1,3,1,1,1,1,40893,0
56,3,3,0,2,0,1,1,1,18410,1
94,3,3,0,3,0,2,0,4,35144,0
57,3,3,1,2,1,1,2,2,17421,1
58,3,3,0,3,0,2,2,2,19917,0
58,1,5,0,3,1,2,1,1,44295,0
59,3,3,0,2,1,2,3,3,23875,1
56,1,4,0,3,1,0,0,0,53352,0
58,1,5,1,3,1,0,0,1,55514,0
58,1,5,1,3,1,0,0,1,59763,1
45,3,3,1,2,0,1,0,0,11488,0
43,4,1,0,3,0,2,3,3,47324,1
59,1,5,0,3,1,0,0,1,53866,0
44,4,1,1,2,1,3,4,4,60691,0
45,4,1,1,2,0,1,0,0,64322,0
45,4,1,0,2,0,1,0,0,34719,1
48,5,3,0,3,1,2,0,0,17149,0
47,1,5,1,3,1,0,1,1,57934,0
109,4,1,0,2,1,1,0,1,32768,0
49,5,3,1,2,1,2,0,0,19717,0
49,5,3,0,2,0,2,0,0,12587,0
54,4,3,1,3,1,1,1,1,15619,0
55,1,1,0,2,0,1,1,1,47235,0
55,1,1,1,2,0,1,1,1,72921,1
55,1,1,0,3,1,0,0,0,44544,0
55,1,1,1,3,0,0,0,0,79036,1
56,1,5,0,3,1,2,1,1,56634,0
58,5,3,0,2,1,2,3,4,13132,1
59,3,3,1,2,1,1,3,3,24379,1
56,2,5,0,2,1,0,0,0,78764,1
59,3,3,1,2,1,1,4,4,15195,1
58,1,5,1,3,1,0,0,1,72870,0
45,3,3,1,2,0,1,0,0,25596,0
43,4,1,0,2,1,2,3,3,44099,1
59,1,5,0,3,1,0,0,1,42856,0
60,4,1,0,2,1,1,0,1,55331,0
60,1,5,0,3,1,1,0,1,46838,0
44,4,1,1,2,1,2,4,4,52994,1
45,4,1,0,2,0,1,0,0,48837,0
45,4,1,0,2,0,1,0,0,56043,0
45,4,1,1,3,0,1,0,0,47951,0
46,4,1,0,2,0,1,0,0,43093,0
46,4,1,0,2,0,1,0,0,48322,0
48,5,3,1,2,1,2,0,0,32831,0
48,5,3,0,2,0,2,0,0,15098,0
48,5,3,1,2,1,2,0,0,21912,0
47,1,5,1,3,1,0,1,1,71043,0
81,1,1,0,3,1,0,0,1,38727,0
80,1,1,1,3,1,0,0,1,50593,0
80,2,1,1,2,1,0,0,1,88644,0
79,1,1,0,3,1,0,0,1,61826,0
79,1,1,0,2,1,0,0,1,54295,1
62,4,3,1,2,0,0,1,1,33055,0
62,4,3,1,3,1,0,1,1,20933,0
62,4,3,0,3,1,0,1,1,26395,0
63,4,3,1,3,1,1,0,2,27445,0
63,1,1,1,3,1,0,0,0,55295,0
63,2,1,0,3,1,0,0,3,65525,0
64,1,1,0,2,1,0,0,1,49567,0
52,1,1,1,3,1,0,0,0,62003,0
53,4,3,0,2,1,1,0,0,28111,0
71,4,3,0,3,1,1,0,2,23909,0
54,4,3,1,2,0,0,1,1,11846,0
78,2,2,0,2,0,2,4,4,150352,0
69,3,4,1,3,1,1,3,4,101799,1
69,4,4,1,3,1,2,5,5,164262,1
69,4,4,1,3,1,2,5,5,159044,1
69,1,2,1,3,1,3,5,5,166662,0
69,1,2,1,3,1,4,4,4,168262,0
70,4,4,0,3,0,3,5,5,134678,1
70,1,2,1,3,0,3,5,5,169262,1
70,1,2,1,3,1,3,5,5,168242,1
71,3,4,0,2,0,3,5,5,131017,1
72,1,2,1,3,1,3,5,5,166768,1
74,3,2,0,2,0,4,5,5,114905,1
74,3,2,0,3,1,4,5,5,132087,0
64,4,4,1,3,0,3,3,3,170255,1
64,4,4,0,3,0,4,3,3,145975,1
66,3,4,1,3,1,2,4,4,164545,0
66,3,4,1,3,1,2,4,4,153767,1
67,4,4,1,3,1,3,4,4,163232,1
60,2,3,1,3,1,0,0,1,37996,0
60,2,3,1,2,1,0,0,1,31639,1
60,2,3,0,2,1,0,0,1,35232,1
60,2,1,1,2,1,0,0,1,47298,1
64,1,3,0,2,1,0,0,1,18785,0
84,2,1,0,2,1,0,0,1,66395,0
84,2,1,0,3,1,0,0,1,64756,0
48,1,5,1,3,1,0,1,1,49204,0
50,5,3,1,3,0,2,0,0,20994,0
49,2,5,1,2,1,0,0,0,81873,1
50,3,3,0,2,0,1,0,0,31513,0
50,3,3,1,2,0,1,0,0,52798,0
50,3,3,1,2,1,1,0,0,69678,1
51,5,3,0,2,0,2,0,0,11813,1
51,3,3,0,2,1,1,0,0,36905,0
52,4,1,0,3,0,0,2,2,39951,1
51,4,1,0,3,0,2,2,2,50566,0
64,1,2,0,2,0,2,3,3,131029,1
65,4,4,0,3,0,3,3,4,131711,0
67,3,4,1,2,0,3,4,4,160283,1
68,4,4,0,3,1,1,2,4,113819,0
77,1,2,0,3,1,4,4,4,143236,0
77,4,4,0,3,1,4,4,4,136970,1
77,4,4,0,2,0,4,4,4,129109,1
77,2,2,0,2,0,4,4,4,159185,0
69,4,4,1,2,1,1,2,4,109690,0
70,1,2,1,3,1,3,5,5,177761,1
70,3,4,1,3,1,3,5,5,151898,1
72,3,2,1,3,1,2,5,5,160673,1
74,5,4,1,3,1,4,5,5,144609,0
75,5,4,1,3,1,4,5,5,156236,1
48,1,5,1,3,1,0,1,1,54323,0
48,1,5,1,3,1,0,1,1,68021,1
50,5,3,1,2,1,2,0,0,16319,0
49,1,5,1,3,1,1,1,1,69006,0
