Age,Gender,Income,Balance,Vintage,Transaction_Status,Product_Holdings,Credit_Card,Credit_Category,Is_Churn
47,2,3,800831.16,1,1,1,1,2,0
48,2,3,1029391.56,5,1,1,1,2,0
37,2,3,680805.72,0,0,1,0,3,0
40,1,2,1375884.27,1,1,1,1,2,0
48,2,4,1158850.98,3,1,2,0,3,0
29,2,1,1277248.95,0,0,1,1,3,0
44,2,3,361051.47,0,1,1,0,2,0
34,2,1,15291,1,1,1,1,1,0
33,1,3,922464.27,4,0,2,1,3,0
58,2,1,1662548.94,1,0,1,0,1,1
59,1,4,1126106.1,4,1,1,1,1,0
39,1,4,1604532.78,3,1,1,0,2,0
33,2,3,1194113.52,2,1,1,0,2,0
37,2,1,452374.83,2,1,2,1,3,0
45,2,4,1050368.94,4,1,2,1,3,0
67,1,1,227871.54,2,1,4,1,3,0
48,1,3,307604.07,0,1,4,0,3,1
40,1,2,18216,2,1,2,1,1,0
29,2,3,54036,4,1,2,0,3,0
37,1,2,19710,1,0,2,1,2,0
42,2,1,24444,3,0,1,0,2,0
49,1,1,2332971.81,3,0,1,1,2,1
37,1,4,159975,4,1,1,1,3,0
31,1,4,489467.52,2,1,2,1,1,0
56,2,4,843552.18,1,1,1,1,1,0
42,1,4,1901320.38,2,1,1,1,1,0
33,2,3,502924.68,3,1,2,1,2,0
31,2,3,1806126.03,5,1,2,1,1,1
54,1,3,1012630.41,4,0,1,0,2,1
63,2,4,937373.13,3,0,2,1,1,0
49,2,4,933811.11,0,1,1,1,3,1
34,1,1,79659,2,0,2,1,3,0
38,1,3,88506,1,0,4,0,1,0
40,1,2,838385.46,4,1,1,1,1,1
55,2,2,838643.04,1,1,1,0,1,1
31,2,4,433155.24,4,1,1,0,1,0
42,2,3,692453.25,3,1,2,0,2,0
41,2,1,1117633.14,1,0,1,1,1,0
30,2,1,726230.88,3,0,2,1,3,0
37,2,4,36045,4,0,2,0,2,1
26,1,3,2017194.3,3,1,1,1,1,0
38,1,4,1147024.08,4,0,1,1,2,0
40,1,3,149868,1,0,2,1,1,0
39,2,3,586586.79,4,0,2,1,1,0
34,2,3,1159187.49,1,1,1,1,1,0
40,2,4,265680.45,0,1,1,1,3,0
37,1,1,98883,1,1,1,1,1,0
55,1,3,540972.27,4,0,2,1,1,0
27,2,2,725942.07,3,0,2,0,1,0
31,1,1,300028.68,1,1,1,0,1,1
28,1,4,28593,3,0,2,0,1,1
46,1,3,1029266.55,2,1,2,0,1,0
55,2,3,814875.66,0,0,2,1,2,0
62,1,4,915355.08,1,0,2,1,2,0
34,2,3,949376.16,1,1,1,0,2,0
58,1,2,32463,2,0,2,0,3,1
56,2,2,1152190.35,4,1,2,1,1,0
26,2,2,445271.4,3,0,2,1,2,0
31,1,3,1287258.12,2,0,2,0,3,0
59,1,1,251997.66,1,0,2,1,2,1
52,2,3,1583268.39,4,0,1,1,1,1
55,2,4,1428770.97,1,1,1,0,1,1
41,2,3,139734,4,1,2,1,1,1
27,2,3,1018832.22,1,1,2,1,1,0
34,2,4,282748.86,3,1,2,0,1,0
43,2,4,220287.15,3,0,2,1,3,1
45,2,1,92907,3,1,2,1,3,0
44,2,3,1721799.36,4,1,1,1,2,0
37,1,4,8667,1,0,2,1,2,0
59,2,2,1136047.14,2,0,1,0,1,0
25,2,3,1046796.57,3,1,2,0,1,0
27,2,2,1863300.33,4,0,1,0,3,0
46,1,3,564109.11,3,0,1,0,1,1
44,1,4,964109.07,0,0,1,1,1,0
41,1,1,90184.95,5,0,2,1,3,0
35,2,3,625865.49,3,1,1,1,3,0
55,1,1,233914.14,0,1,2,1,1,0
42,2,4,1076659.74,4,0,2,0,1,1
46,2,2,402746.67,2,1,1,1,3,0
27,1,1,1628801.19,0,1,1,1,2,0
31,2,2,1253111.85,3,1,1,1,1,0
47,2,3,1402926.66,0,0,1,1,1,0
49,2,4,1134702,4,1,1,1,2,0
25,2,1,1389112.02,3,1,2,1,3,0
31,2,4,676939.86,4,1,2,1,1,0
29,1,1,1223332.2,2,1,1,0,3,0
44,2,4,1049552.37,2,1,1,0,3,0
28,2,2,1149082.11,4,1,1,1,1,0
28,1,1,1043038.35,1,0,2,0,1,0
36,2,2,41913,1,0,1,1,1,1
41,1,2,152313.66,1,0,2,1,3,0
63,2,4,920181.33,0,1,2,1,1,0
31,1,1,1430567.19,4,0,1,1,1,0
38,2,4,870268.59,4,1,2,0,2,0
39,1,3,610385.04,3,1,2,1,3,0
49,2,4,404592.75,4,0,1,1,1,1
35,2,1,105255,0,0,2,0,1,0
68,1,1,82341,1,1,2,1,3,0
26,1,1,170373.51,2,0,2,1,2,0
30,2,3,993317.4,1,1,1,1,2,0
45,1,3,195040.17,2,0,1,0,1,0
44,1,3,1134007.2,3,0,2,1,3,0
65,2,2,223389.81,1,0,1,0,2,1
32,2,1,877161.69,3,0,1,1,1,0
41,1,4,1623850.2,4,0,1,1,2,1
28,2,2,842280.75,0,0,1,1,2,0
42,1,4,90549,1,1,2,1,2,0
35,1,1,501774.3,1,0,2,0,1,1
33,2,4,132120,0,1,4,1,2,0
33,2,1,6381,3,1,2,0,2,0
31,1,4,1402816.59,0,1,2,1,3,0
45,2,3,1375891.74,3,0,1,1,2,0
40,1,1,52488,3,1,2,1,1,0
37,2,2,1238613.12,0,0,2,1,1,0
40,2,2,1031590.17,0,1,1,1,1,0
57,1,3,1242731.61,2,1,2,1,3,1
33,2,3,1083589.74,4,1,1,1,1,0
23,1,1,626707.35,0,0,2,1,1,1
39,2,1,328517.37,1,1,2,1,1,0
29,2,1,829614.42,2,0,2,1,3,0
29,1,3,1200150.9,0,1,1,1,1,0
50,2,4,1875741.84,5,1,2,1,3,0
38,1,4,818026.56,1,1,2,0,2,0
45,1,1,1326471.21,2,0,1,1,3,0
49,1,4,1694435.58,5,1,2,0,2,0
46,1,2,281911.41,3,1,1,1,2,1
34,1,1,237576.6,2,1,2,0,1,1
45,1,1,556868.52,1,1,2,1,2,1
34,2,1,176112,1,1,4,1,1,0
57,1,3,1145376.72,1,1,2,1,2,0
28,1,3,143424,1,0,1,0,2,0
45,2,2,1856032.38,2,0,1,1,3,0
27,2,2,1828138.68,1,0,1,0,1,0
28,1,4,737780.76,3,1,2,0,2,0
41,2,3,609587.01,4,1,1,0,3,0
46,2,2,755831.34,2,1,2,1,1,0
50,1,4,727703.55,1,1,1,1,2,1
32,1,1,424963.26,1,0,1,1,2,0
37,1,3,261110.25,0,0,2,0,3,0
44,2,1,1202075.37,3,1,1,1,2,0
52,1,2,820471.14,1,0,2,1,1,1
33,2,3,305313.84,0,1,1,1,2,0
37,2,1,693276.21,1,0,2,1,1,0
44,1,1,175708.71,3,1,2,1,1,0
42,2,1,1274302.26,2,0,1,1,2,0
60,1,2,1269775.44,2,1,1,1,2,0
59,2,4,307049.67,2,0,2,0,2,0
39,1,3,1220726.52,2,1,1,1,2,0
50,2,4,1059408.36,4,0,2,0,1,0
36,1,1,1133258.22,5,0,1,1,1,0
28,1,1,778651.74,0,1,1,1,1,0
26,2,2,208578.33,4,1,2,1,1,0
38,1,2,571802.31,2,1,2,0,3,0
39,2,2,1575045.81,4,0,1,0,3,0
41,1,3,520522.65,2,1,1,1,2,0
29,1,1,162234,1,0,1,1,1,0
35,2,2,1392733.26,0,0,2,1,2,0
65,2,2,552640.86,4,1,2,1,2,0
35,2,2,978704.37,1,1,2,1,2,1
67,2,2,892519.56,3,0,2,0,1,1
42,1,3,1446208.38,4,1,1,0,2,0
48,2,4,571668.66,1,1,2,1,3,0
35,2,2,1960508.88,1,1,1,1,1,0
39,1,2,746104.59,4,0,2,1,1,0
35,2,1,1021397.67,0,1,2,0,2,0
42,1,3,1624694.4,4,0,1,1,1,0
50,1,4,810366.84,1,1,2,1,3,0
33,1,1,268149.33,4,0,1,1,3,0
36,1,3,76392,3,0,1,1,2,0
50,1,3,527026.14,1,1,1,1,1,1
51,2,3,256330.98,2,0,1,1,1,1
34,1,3,823078.26,1,0,1,0,1,0
35,2,4,876390.21,0,0,1,1,1,0
51,2,3,1135444.41,2,1,2,1,1,0
30,1,1,947655,2,1,2,1,2,0
44,1,3,550832.85,1,1,1,1,3,1
34,1,2,940009.23,4,0,2,1,2,0
32,2,1,455507.82,3,0,1,1,1,0
63,1,2,693408.33,0,0,2,0,1,0
33,2,3,121986.72,1,1,2,1,2,0
48,1,3,613070.55,4,1,2,1,1,0
32,1,2,471226.68,1,1,2,1,1,0
48,2,3,594197.91,3,1,1,0,3,0
35,2,2,30042,2,0,2,1,1,0
35,1,2,9162,4,1,2,1,3,0
28,1,1,177120,5,1,1,1,3,0
49,2,2,809275.86,4,0,2,0,1,0
42,2,4,945692.73,3,1,1,0,2,0
52,2,3,1641517.56,3,0,1,1,1,1
47,2,4,576043.83,2,0,4,1,3,0
42,2,1,494425.8,4,1,1,1,2,0
31,1,3,897797.43,1,0,1,0,1,1
41,2,2,1035416.07,4,0,1,1,1,1
35,1,4,749433.69,0,0,1,1,1,0
42,1,2,1064600.82,4,1,2,1,2,0
40,1,4,1610447.76,3,0,1,1,3,0
25,1,3,301520.88,0,1,2,1,1,0
38,2,1,481141.08,1,0,2,1,3,0
39,1,2,1023595.02,5,1,2,1,3,1
52,2,1,117549,4,1,2,1,1,0
33,1,3,1397182.68,5,0,2,1,2,0
38,1,1,1322013.33,1,0,1,0,2,1
45,1,1,294123.87,2,1,4,1,1,0
41,2,3,447160.32,1,1,2,1,1,1
36,2,3,300825.54,1,1,2,0,3,0
47,1,2,396369,1,0,1,0,1,1
57,2,3,469300.59,2,0,2,0,1,0
49,1,3,1207578.78,1,0,1,0,3,0
33,1,4,801734.67,2,0,1,1,2,0
32,2,4,1462117.77,4,1,1,1,2,0
30,2,3,951192.18,0,1,2,1,2,0
34,1,3,1798252.92,3,1,1,1,1,0
52,2,3,1707106.86,0,1,2,1,3,0
46,2,4,1161626.13,2,1,1,1,1,0
34,2,3,411544.08,4,1,2,1,1,0
30,1,3,913797,4,1,1,0,2,0
36,2,4,772245.72,4,1,2,0,1,0
36,1,4,204095.52,0,0,2,1,3,0
40,1,2,907957.89,3,0,2,1,2,0
60,1,2,991608.57,4,0,1,1,1,1
30,1,2,1286100.81,4,0,1,1,3,0
34,1,2,1020523.05,3,1,2,1,3,0
36,2,4,1404503.28,3,0,1,0,3,0
51,2,1,1482299.91,2,0,1,0,1,0
29,1,3,1405794.78,2,0,2,1,1,0
32,1,2,1320312.33,1,0,1,0,1,1
37,2,2,1273552.02,4,0,1,0,3,1
33,2,1,571239.45,0,0,1,0,2,0
40,1,1,884185.92,4,0,1,1,1,0
40,2,2,150604.02,2,0,2,1,2,0
60,2,1,867350.88,2,0,1,0,2,0
54,2,3,613374.84,1,1,2,1,3,0
40,2,1,1125992.7,4,1,2,1,2,0
26,1,4,1404291.24,1,1,1,1,1,0
33,2,3,118593,3,0,1,1,3,0
42,2,1,429141.15,2,1,1,1,3,0
35,2,3,1540293.57,1,0,2,0,2,0
42,1,1,1172770.29,3,0,2,1,1,0
44,2,2,493018.65,0,1,1,1,2,0
40,2,2,1060332.3,3,0,1,1,1,0
38,1,3,723647.07,3,0,2,1,1,0
43,2,2,849725.91,0,1,2,1,2,0
38,2,1,853565.4,2,0,2,1,2,0
32,1,3,741907.35,4,0,2,0,3,0
50,2,4,136638,5,1,1,1,1,1
29,2,4,703699.65,4,0,2,1,3,0
32,2,2,169578,2,1,2,1,1,0
54,1,3,275157.63,5,1,1,1,1,1
30,1,4,500014.17,0,1,1,0,1,0
37,2,4,1383912.99,4,1,2,1,2,0
39,2,4,1591795.08,4,1,1,1,1,0
29,1,3,2157562.98,0,0,1,1,2,0
58,1,4,133875,1,0,2,0,1,1
25,2,2,1061489.34,1,1,2,1,1,0
50,1,2,1368799.65,0,1,2,0,1,0
44,2,3,980901.9,2,0,4,0,1,0
43,1,2,353068.11,3,1,1,0,3,1
45,1,3,322915.5,1,1,2,1,1,1
41,2,2,1035929.88,1,0,2,0,1,1
35,1,2,1023705.18,0,1,2,1,3,1
59,2,2,1350937.17,3,1,1,1,2,1
42,1,1,1243181.16,3,0,1,1,2,1
30,2,2,760837.68,1,1,1,1,1,0
29,1,2,142095.87,0,1,4,0,2,0
46,2,2,754333.11,4,0,1,1,3,0
44,2,2,562066.38,1,0,2,1,1,0
34,2,4,15282,5,0,2,1,1,0
48,2,4,537562.62,1,1,2,1,1,0
53,2,4,889452.36,2,1,2,1,2,0
41,1,2,353836.8,2,0,4,1,3,0
51,1,1,983745.27,3,0,1,1,1,1
41,1,1,775998.54,2,0,4,0,1,1
42,1,4,592418.16,0,1,1,1,1,1
33,2,3,2283723.99,0,0,1,1,1,0
53,2,3,1398772.71,1,1,1,0,3,0
71,2,2,510126.48,3,0,2,1,1,1
49,1,4,1137900.24,3,1,2,0,2,0
45,1,4,370241.19,4,1,2,1,1,0
45,2,2,1012651.56,4,0,1,0,1,0
46,1,3,64755,4,1,2,0,2,1
43,2,2,585378.18,2,0,1,0,1,0
47,2,1,1352497.05,3,0,1,1,2,1
39,2,2,692013.24,4,1,1,1,3,0
25,1,3,348661.71,0,1,2,1,1,0
29,1,4,557435.7,2,1,2,0,2,0
44,1,2,1072707.3,3,0,1,0,1,1
39,2,3,1137454.2,1,1,2,0,2,0
41,1,1,1583318.16,2,0,1,1,3,1
59,2,3,527007.96,1,1,1,1,2,1
32,1,3,566894.88,2,0,2,1,2,0
33,2,3,715488.75,0,1,2,1,2,0
37,2,1,44595,2,0,2,0,1,0
49,1,2,1444790.07,1,0,2,1,1,0
51,2,2,97803,4,1,2,1,2,0
39,2,3,681534.45,3,1,1,1,1,0
37,2,1,1343139.12,2,0,1,1,1,0
53,1,4,663451.29,0,0,1,1,2,0
33,1,4,149166,2,1,4,1,3,0
32,1,4,2013504.21,2,0,1,1,2,0
29,2,1,650295.54,1,1,1,1,1,0
35,2,3,648653.13,2,1,2,1,1,0
41,1,2,1031058.72,1,0,1,0,1,0
26,2,2,507204.99,1,1,2,1,1,0
47,1,3,110178,4,1,2,0,3,0
36,2,4,1216114.2,4,1,1,1,3,0
56,1,4,1638496.89,3,0,1,1,1,1
46,2,3,559709.28,1,0,2,1,2,1
41,1,2,449422.2,4,1,1,0,2,0
57,1,3,478890.99,4,1,2,0,2,1
48,1,4,762402.69,0,1,2,0,3,1
47,2,3,370484.01,3,0,2,0,2,0
39,1,1,268685.91,3,0,1,1,1,1
42,1,2,122139,4,0,2,0,3,0
33,2,1,75762,4,1,2,0,1,0
65,2,1,1291291.92,4,1,1,0,2,0
42,1,3,1150166.34,0,1,2,1,2,1
41,1,1,1856637.72,2,0,1,1,3,0
47,2,3,112770,1,1,2,1,1,0
58,1,2,1075888.89,2,0,2,1,1,1
46,1,1,972748.26,3,0,1,1,1,0
35,1,4,726221.88,0,0,2,1,1,0
40,2,3,463487.49,4,1,1,1,1,0
29,1,2,367234.56,4,0,2,1,1,0
44,1,1,915690.78,1,1,1,1,1,0
38,2,4,340134.21,0,1,2,1,2,0
48,1,1,277822.17,2,0,2,1,2,1
43,1,1,160398,1,1,2,1,2,0
49,2,1,1773775.98,0,0,1,0,3,1
53,1,2,541841.13,4,0,2,1,2,0
50,1,1,363856.77,3,0,1,1,2,0
46,1,3,1171381.41,5,0,1,1,2,0
55,2,3,910209.33,2,1,2,0,1,0
58,1,4,682603.56,1,1,1,1,1,1
39,2,4,567080.91,3,0,2,1,1,0
39,2,2,945328.86,1,0,1,1,1,0
30,1,1,119224.44,2,1,2,1,1,0
44,1,3,697109.85,4,0,2,1,1,0
46,2,2,1452032.28,3,1,1,1,3,0
31,2,4,1068287.85,1,0,2,0,1,0
35,1,3,679858.29,2,0,2,1,2,0
33,1,2,648567.54,0,0,2,1,2,0
42,1,2,1327894.56,3,1,1,1,3,0
68,2,1,648195.66,0,0,2,0,1,0
39,1,1,1492366.32,1,1,2,1,1,0
32,2,4,418603.59,1,1,1,1,2,0
45,1,4,1250935.92,0,1,2,0,3,0
30,1,3,363359.88,0,1,1,0,1,0
40,2,3,1079154,1,1,1,1,2,1
47,1,4,1158806.79,1,1,1,1,1,0
40,1,3,647666.91,1,0,2,1,2,0
31,1,4,230983.02,1,0,2,1,2,0
47,1,2,867715.47,4,0,2,0,1,0
37,1,2,541267.65,1,0,1,1,3,0
45,2,3,503926.38,2,1,1,1,3,0
40,1,4,1265127.57,3,1,2,1,1,0
37,1,3,597482.55,3,1,2,1,3,0
30,1,2,918886.5,2,1,2,0,1,0
32,1,2,1575156.87,1,0,1,1,2,0
27,1,1,139050,0,1,1,1,3,0
35,2,1,1904156.82,3,1,1,1,2,0
39,1,4,772587.09,1,1,2,0,1,0
44,2,1,601979.13,2,0,2,0,3,1
26,2,1,880165.89,0,0,1,1,2,0
38,1,2,1737643.95,1,1,2,1,2,0
46,1,1,669687.93,1,0,1,1,2,0
31,1,2,652213.98,1,0,1,0,1,0
51,2,4,559963.62,1,0,2,0,1,0
52,1,3,1424385.45,4,0,1,1,1,0
53,1,4,936960.03,3,0,2,1,3,0
38,1,2,914314.23,3,1,1,0,2,0
44,2,3,790059.24,0,0,1,1,1,1
43,1,2,181816.47,2,1,1,0,1,0
43,1,1,778434.21,3,0,2,1,2,1
40,1,2,1058502.51,4,1,1,1,1,0
29,2,2,998503.65,3,0,1,1,2,0
49,2,2,52542,2,1,1,0,2,0
33,1,1,1011431.7,1,0,1,0,1,0
36,2,1,818135.46,3,1,1,0,1,0
63,2,2,879654.87,1,0,2,0,2,0
53,2,3,580123.44,3,1,2,1,2,0
52,1,1,899031.33,4,1,4,0,1,1
47,1,4,1423113.75,2,0,1,0,1,1
34,2,1,994906.98,4,0,2,1,2,0
46,1,3,1086057.9,2,1,1,1,2,0
37,1,1,570672.9,4,1,2,0,1,0
42,2,4,11547,3,0,1,1,3,0
44,1,4,1460881.62,0,1,1,1,1,0
37,2,3,1514299.23,4,0,2,1,3,1
63,1,4,497497.41,2,1,2,1,3,0
41,2,3,1273253.58,2,0,2,1,2,1
37,2,3,528067.17,1,1,2,1,3,0
28,2,1,499463.55,2,0,2,1,2,0
29,2,3,99805.23,1,1,2,1,1,0
41,1,3,240669.81,4,1,1,1,1,0
39,2,4,1267265.61,2,1,2,1,1,0
32,2,3,1815672.87,2,0,2,0,1,0
33,1,1,1185481.17,3,1,1,0,1,0
29,2,2,606699.9,4,0,1,1,3,0
53,2,2,55431,3,0,2,1,1,0
46,2,3,692265.78,2,1,2,1,3,0
36,2,2,640723.95,2,0,2,1,2,0
45,1,4,373331.7,3,0,2,0,1,0
44,2,3,20115,4,1,1,0,3,0
50,2,2,831378.06,3,1,2,1,3,0
51,1,3,1584009.9,2,1,2,1,2,1
58,2,2,605596.68,4,0,2,1,2,1
47,2,3,720241.92,2,0,1,0,1,0
41,1,1,482495.31,1,1,2,1,1,1
42,2,3,307647.27,2,0,2,1,1,0
37,2,1,1833278.94,3,0,1,1,1,0
41,2,4,888105.51,2,0,1,1,2,0
31,1,2,666715.77,4,0,1,1,2,0
27,1,2,534176.1,2,0,2,1,3,0
27,1,3,655673.85,0,1,2,1,2,0
65,2,2,1237861.08,2,1,1,1,3,1
37,2,3,1563392.88,0,1,1,0,2,0
38,2,2,1181397.24,4,1,1,0,2,0
33,1,1,15426,5,0,2,0,1,0
45,1,3,544189.14,1,1,2,1,1,0
37,1,4,1910839.41,3,0,2,1,3,0
39,2,4,723120.57,4,0,2,1,1,1
42,1,3,1487919.15,1,1,2,1,3,0
33,1,4,766114.02,3,0,2,0,3,0
55,2,2,1248221.34,4,0,2,1,3,0
31,1,4,929963.07,3,0,2,0,1,0
41,1,4,1217394.36,1,1,2,1,1,0
33,2,1,411321.87,3,1,2,0,3,0
43,2,2,628373.07,2,1,2,1,2,0
44,2,2,1111484.52,2,0,2,1,2,1
39,2,1,630129.15,4,1,2,1,1,0
47,2,2,1091697.48,1,1,1,1,2,0
53,2,4,1864008.36,2,1,1,0,2,0
36,2,2,1128757.68,3,1,2,0,1,1
41,2,4,1042432.2,3,1,4,1,1,0
33,1,2,753112.35,4,1,2,0,3,1
35,2,1,692109.18,2,1,2,1,1,1
48,2,3,354358.98,5,1,2,1,3,0
65,2,3,540643.68,0,1,1,1,1,0
60,1,3,643231.17,0,0,2,1,3,0
48,2,3,1092125.79,5,1,2,1,3,1
34,1,3,141998.67,0,0,2,1,1,0
39,1,1,1249188.3,1,0,1,0,1,1
51,1,2,582699.51,3,0,1,1,1,0
56,2,2,2198194.11,0,1,1,0,3,1
48,2,3,794642.22,1,0,1,1,1,0
56,2,2,255094.92,5,1,1,0,1,0
39,1,2,168380.46,4,1,2,1,1,0
57,2,2,782337.78,3,1,1,1,2,1
33,2,3,1317241.8,2,0,2,1,1,1
34,2,3,202013.1,4,0,2,0,2,0
37,1,3,572918.94,1,0,2,1,1,0
36,2,1,942805.8,4,0,1,1,1,0
41,2,1,1002669.93,0,1,2,0,1,0
35,2,2,540918.72,1,0,1,1,2,0
45,1,1,629711.91,4,1,4,1,1,0
42,1,2,1076903.28,4,0,1,1,3,0
66,2,3,1421886.78,2,1,1,1,3,0
50,1,2,1248975.45,2,1,1,0,1,0
42,1,1,740917.53,0,0,1,1,2,0
42,2,2,644891.04,4,0,2,1,3,0
23,1,1,589825.98,2,1,4,1,1,0
29,1,1,834228.72,0,1,2,1,3,0
26,1,2,723767.67,2,1,2,0,2,0
29,2,1,354939.48,2,0,4,1,1,0
35,1,4,168507,4,1,2,1,1,0
27,1,2,48051,1,0,1,1,2,0
41,1,2,681642.99,2,1,1,1,3,0
39,1,3,101226.6,3,1,2,0,2,0
33,2,4,86328,4,0,2,0,1,0
28,1,1,1542905.01,3,1,1,1,2,0
26,1,4,672258.87,1,0,2,0,1,1
27,1,1,408877.02,3,1,2,0,2,1
36,2,3,934155.81,0,1,1,1,3,0
58,1,3,417610.53,2,1,2,1,1,0
28,2,4,688938.03,5,1,2,1,2,0
45,2,4,1704064.05,0,1,2,1,1,0
41,1,3,1539295.74,2,1,1,0,1,0
55,1,2,462865.59,2,1,2,1,2,1
31,2,1,1274694.21,2,1,1,0,1,0
40,1,3,2354015.88,2,1,1,0,1,1
46,2,3,2114509.23,0,0,1,1,1,1
41,1,2,780498.18,4,0,2,1,1,0
62,2,2,234650.61,2,1,1,1,1,0
23,1,4,794764.62,0,1,1,1,1,1
46,2,3,656042.04,4,1,1,0,1,0
58,2,3,98802,4,0,2,1,2,0
42,2,1,943197.75,5,0,1,0,1,0
43,2,1,405488.52,2,0,1,1,1,0
65,1,1,78192,1,1,2,1,1,0
38,2,2,1157325.66,4,1,2,1,2,0
48,1,1,244507.14,2,1,2,1,2,0
43,1,3,731722.95,2,1,1,1,2,0
66,2,4,559805.67,3,1,2,1,3,0
42,2,1,1168727.76,3,0,1,1,2,1
38,1,1,168417,5,1,2,0,1,1
49,2,2,1320000.66,5,1,2,1,1,1
36,1,1,523750.77,3,1,1,0,3,0
37,1,2,387644.58,4,1,2,1,2,0
50,2,2,2164140.54,3,0,1,1,1,0
34,1,3,159831,3,0,2,1,2,0
29,1,4,1125695.52,3,0,1,0,3,0
48,1,3,36333,1,1,2,1,2,0
43,1,3,823363.38,4,1,1,1,2,1
45,1,1,1601903.43,1,1,1,0,3,0
55,2,3,668128.23,3,0,2,0,1,1
59,1,1,1031358.33,3,0,1,0,1,1
57,1,1,445517.19,3,0,1,0,1,0
40,1,2,113949,1,0,2,1,1,0
29,1,2,80154,2,1,1,0,1,0
56,2,1,121194,0,0,2,1,1,0
33,1,1,1341586.62,2,1,1,1,1,0
56,2,1,752685.12,4,1,2,1,1,1
55,1,2,1000611.09,2,0,1,1,1,0
43,1,1,1435493.7,4,1,1,1,3,0
28,1,1,478639.08,5,0,1,0,2,0
46,2,2,384738.93,0,0,2,0,3,1
42,1,2,845564.04,1,1,2,0,2,0
28,2,3,746629.83,0,0,2,0,2,0
40,1,4,2222971.11,5,1,1,1,3,1
32,2,3,1401543,3,1,2,1,1,0
32,2,3,924424.56,3,0,2,1,2,0
36,2,1,1025217.9,3,1,1,1,3,0
59,2,1,391936.59,0,1,2,1,3,0
43,2,4,102348,3,1,4,0,2,1
62,1,1,580197.33,4,0,1,0,2,1
43,1,4,1060977.42,1,0,2,1,3,0
32,2,4,1055860.56,4,1,1,0,1,0
47,1,2,788806.44,4,1,1,0,1,1
37,1,3,411842.97,3,1,2,1,3,0
52,1,4,1568494.44,4,0,1,1,1,1
36,2,3,124092,4,0,2,0,1,1
40,2,2,1055162.88,1,0,1,1,3,0
27,2,2,77877,1,0,4,1,3,0
44,1,1,1235832.21,3,1,1,1,1,0
31,2,4,671119.2,4,1,1,0,2,0
42,1,3,94527,4,0,2,1,1,0
36,2,1,734896.89,2,0,1,1,3,0
41,2,3,512047.26,1,1,2,1,1,0
